,hidden_layer_sizes,activation,learning_rate_init,learning_rate,train_rmspe_mean,valid_rmspe_mean,train_rmspe_std,valid_rmspe_std
0,"(64, 128, 128, 32)",tanh,1e-05,adaptive,1.2062781437269212,1.1918358142616392,0.14515932746026391,0.11202779332096419
1,"(64, 128)",tanh,0.001,constant,0.3330537253792141,0.3396147653555477,0.05492310843549288,0.0643181057564905
2,"(64, 64, 64)",relu,0.001,constant,0.3776478671250311,0.378247039991721,0.062464265531600685,0.06114433654327782
3,"(64, 128, 128, 32)",relu,0.001,constant,0.34531154016382487,0.34358346930823336,0.03602488026064108,0.03529747397297237
4,"(32, 64)",relu,1e-05,adaptive,5.043169181741008,4.998427192867589,0.16581050993069246,0.202844602221117
5,"(64, 64, 64)",relu,0.0001,constant,2.261245358831894,2.1287470639234103,1.033060949940944,0.9438976810621165
6,"(64, 128)",relu,0.001,adaptive,0.3227548126478703,0.32455844586784593,0.017375236112843077,0.02157504706098376
7,"(64, 128, 128)",tanh,1e-05,adaptive,1.3882748333631927,1.471552973388959,0.1457590698057955,0.039462798687826026
8,"(64, 128)",relu,0.001,constant,0.41284306358965644,0.4169432393723214,0.08690053699810017,0.08715394710830245
9,"(64, 128)",tanh,1e-05,constant,1.8677749227642344,1.8953625466853132,0.2229069008615493,0.19702319406963084
10,"(64, 128)",relu,0.001,adaptive,0.3086916126781242,0.3097033061240119,0.030884046451108767,0.032948851049601525
11,"(64, 128, 128, 32)",relu,1e-05,constant,2.1796961767195753,2.201565052307147,0.5284137903398587,0.5585109892577694
12,"(64, 128)",relu,0.001,constant,0.2995096673712003,0.2979501678732887,0.012885179824828804,0.010497377280644453
13,"(64, 64, 64)",relu,0.001,constant,0.29699620104039104,0.29677670313098775,0.018102475688817232,0.015938390511977398
14,"(64, 64, 64)",relu,0.001,constant,0.3081606507372509,0.305690087946576,0.003492074262277749,0.0064229239121870365
15,"(32, 64)",relu,0.0001,constant,1.761726623353119,1.7911789209935758,0.1476047733187201,0.13845323347780267
16,"(32, 64)",tanh,0.0001,adaptive,0.8296949726716488,0.8500026164472194,0.06551321587500608,0.035465493819346286
17,"(64, 128)",relu,1e-05,constant,3.656981462771648,3.7192999969902165,0.405431945431719,0.4596728635198345
18,"(64, 128, 128)",tanh,0.001,constant,0.4673671714143676,0.46796680269737573,0.19712714864085007,0.20051181051040795
19,"(32, 64)",relu,0.001,constant,0.547695091202992,0.5503015813464048,0.13633928870955064,0.13708620024112766
20,"(64, 128, 128)",tanh,1e-05,adaptive,1.2073201328047762,1.146064518376222,0.10340641799180537,0.041829756292846666
21,"(64, 128, 128)",relu,0.001,constant,0.33102992837889933,0.3289058794571969,0.07071295744061996,0.06740733745549554
22,"(64, 128, 128)",tanh,0.0001,adaptive,0.7379655504985797,0.7441189450607079,0.18309868441594984,0.15118059675345974
23,"(64, 128, 128)",tanh,0.0001,adaptive,0.7586475625164182,0.768094011430212,0.0690554324713324,0.06017996803012545
24,"(64, 128)",tanh,0.0001,constant,0.828152410496406,0.8203299294504515,0.2017391697556171,0.18319059176301106
25,"(32, 64)",relu,0.001,constant,0.8697422214676299,0.8877860088442345,0.32370828766910525,0.3642637301084861
26,"(32, 64)",relu,0.001,adaptive,0.35017914217821783,0.34142109103177537,0.039480988228803596,0.039117225890394625
27,"(64, 128, 128)",tanh,1e-05,adaptive,1.2514974590750432,1.2780786345779331,0.16566354485988266,0.2263516977853658
28,"(32, 64)",relu,0.0001,adaptive,2.1907618585251236,2.268199455005464,0.3664344638383608,0.48019961995956584
29,"(64, 64, 64)",relu,0.0001,constant,1.4118389120647832,1.469237237622042,0.12809131489629044,0.18448307353296053
30,"(64, 128)",relu,0.001,adaptive,0.4297626746589321,0.42811772110095214,0.12274964503248072,0.12114051777416113
31,"(64, 128, 128)",tanh,0.001,adaptive,0.31968834537232826,0.3205116952017512,0.009527535579350772,0.009017391912076525
32,"(64, 128, 128, 32)",tanh,0.001,adaptive,0.3188119633864926,0.31861735042879563,0.01229626862489247,0.014528555215709268
33,"(64, 128, 128, 32)",relu,0.0001,constant,0.9983024877218035,1.0375213969990633,0.2760318973973922,0.23026361177883425
34,"(64, 128, 128)",relu,1e-05,adaptive,2.465411893343059,2.5052393135070923,0.0625676240329404,0.10295562050687876
35,"(64, 128, 128)",tanh,0.001,adaptive,0.5132970745790874,0.5122595256796062,0.11034677913433182,0.1093203592319161
36,"(64, 128, 128, 32)",tanh,0.001,constant,0.4168155643157729,0.4157896677132964,0.06434987692483914,0.06154323480903256
37,"(32, 64)",relu,0.001,constant,0.342654981213276,0.3416147801674123,0.038366560327269886,0.03907391449078276
38,"(32, 64)",relu,0.0001,adaptive,1.584153311203411,1.5559326513613259,0.061152473820956545,0.13110094109593098
39,"(32, 64)",relu,1e-05,constant,4.735351703592309,5.0447807385821415,0.5345158640354328,0.221041845867023
40,"(64, 128, 128)",tanh,1e-05,constant,1.0987601718033797,1.1017847292699556,0.021206541345318276,0.02480220548473028
41,"(64, 64, 64)",tanh,1e-05,adaptive,1.6004478863164573,1.6200019873767888,0.14945347359405992,0.1414441889487683
42,"(64, 128)",tanh,1e-05,adaptive,1.7956666305619848,1.8728537847030111,0.0772176657179842,0.19747646408204472
43,"(32, 64)",relu,1e-05,adaptive,4.341449432591049,4.353629750567065,0.24640319797625704,0.2933420641852432
44,"(64, 128, 128)",relu,0.0001,constant,0.9506512792998055,1.094334309183962,0.055696995000331026,0.19964481325022876
45,"(64, 128)",tanh,0.001,constant,0.6191065489340947,0.6170113429784765,0.3134141482570441,0.3147323157191112
46,"(32, 64)",tanh,0.0001,adaptive,0.8558914615800858,0.8710393597287635,0.0802720221368812,0.08858321647862955
47,"(64, 64, 64)",tanh,0.001,constant,0.3661215138383455,0.3650865250443549,0.016929028033325987,0.01673841220096205
